Feature,SHAP_Importance,XGB_Importance
Max_REVEL,0.45165828,0.09200711
CADD1,0.43938234,0.032757323
REVEL1,0.37858883,0.035061818
Max_CADD,0.35182863,0.057195652
Has_SRS1,0.31874695,0.074254975
Max_Charge,0.2665714,0.042195998
REVEL2,0.26077196,0.02207873
Charge2,0.24565391,0.033262376
CADD2,0.19294925,0.024326779
Combined_Severity,0.18082038,0.027934363
Dist_Heme2,0.17693889,0.026724303
Dist_Heme1,0.120040834,0.011444487
Dist_SRS2,0.11345706,0.022274306
Has_Charge_Change,0.10232715,0.04701372
Max_SpliceAI,0.09168336,0.02178362
Combined_Grantham,0.08144344,0.011684827
Max_Grantham,0.07830658,0.038450554
Min_Dist_Heme,0.07687682,0.012832228
Dist_SRS1,0.07598638,0.016143128
Charge1,0.0720815,0.01916245
Min_Dist_SRS,0.058122713,0.021066546
Grantham1,0.05634625,0.012313917
Grantham2,0.037197083,0.014556757
Has_SRS4,0.03529341,0.019968543
Physico_Score,0.033992425,0.016570227
Size2,0.019302802,0.01283195
Max_Hydro,0.019127466,0.025668543
Size1,0.018956656,0.010015611
SpliceAI1,0.018500559,0.01595507
Hydro2,0.008447984,0.007651351
Hydro1,0.0063126953,0.024852827
Has_Hydro_Change,0.005595887,0.007399489
Max_Severity,0.0051673963,0.085340165
Has_SRS2,0.005084731,0.015080233
SpliceAI2,0.0048696906,0.016953437
Max_Size,0.0048359344,0.014013904
Has_Conservative,0.002934962,0.0055965446
Has_SRS5,0.0020553316,0.0055761375
Near_Heme,0.0,0.0
Has_Any_SRS,0.0,0.0
Has_Size_Change,0.0,0.0
Has_Radical,0.0,0.0
is_missense,0.0,0.0
is_truncating,0.0,0.0
is_frameshift,0.0,0.0
is_splice,0.0,0.0
is_deletion,0.0,0.0
Has_SRS6,0.0,0.0
