Rank,Feature,SHAP_Importance,XGBoost_Importance
1,Max_REVEL,1.0726403,0.17050545
2,CADD1,0.46904063,0.04271463
3,REVEL2,0.36766034,0.033456843
4,Max_CADD,0.3574621,0.057849657
5,Combined_Severity,0.30491042,0.027897222
6,REVEL1,0.29884827,0.033152442
7,Dist_SRS2,0.20078655,0.024164451
8,CADD2,0.1816865,0.018990437
9,Dist_Heme1,0.17148642,0.022780914
10,Has_SRS1,0.16947606,0.06484782
11,Dist_Heme2,0.16374095,0.015771795
12,Dist_SRS1,0.1426753,0.029535782
13,Grantham1,0.0777081,0.026612025
14,Max_Charge,0.058712594,0.015224306
15,Min_Dist_Heme,0.054324225,0.006377908
16,Min_Dist_SRS,0.05347098,0.01832452
17,Combined_Grantham,0.05342475,0.02038004
18,Charge2,0.051254123,0.008912266
19,Size2,0.041111663,0.029395558
20,SpliceAI2,0.040785298,0.018102258
21,Max_Grantham,0.040026564,0.013157713
22,Grantham2,0.031927247,0.013178617
23,Has_Charge_Change,0.024971427,0.02941942
24,Max_SpliceAI,0.022027636,0.021525718
25,Physico_Score,0.019535678,0.0076013976
26,Max_Size,0.018402824,0.0901888
27,Hydro1,0.0145003535,0.024270345
28,Has_SRS4,0.009504169,0.00936349
29,Has_Conservative,0.008605996,0.0049907966
30,Charge1,0.0072841356,0.030257182
31,Hydro2,0.0065239146,0.01007759
32,Max_Severity,0.0046216063,0.057306472
33,Has_Hydro_Change,0.001021143,0.0008092774
34,Max_Hydro,0.00081770786,0.0028567864
35,is_frameshift,0.0,0.0
36,is_splice,0.0,0.0
37,is_missense,0.0,0.0
38,is_deletion,0.0,0.0
39,is_truncating,0.0,0.0
40,Has_Radical,0.0,0.0
41,SpliceAI1,0.0,0.0
42,Has_Size_Change,0.0,0.0
43,Near_Heme,0.0,0.0
44,Has_Any_SRS,0.0,0.0
45,Has_SRS5,0.0,0.0
46,Has_SRS2,0.0,0.0
47,Size1,0.0,0.0
48,Has_SRS6,0.0,0.0
